# id,course_code,course_title,course_credit,prerequisite,exclusion,corequisite

529,HUMA 1300,Introduction to Western Literature,3 Credit(s),"","",""
530,HUMA 1430,"History of P. R. China's Diplomacy, 1949-1989",3 Credit(s),"","",""
531,HUMA 1440,Modern China,3 Credit(s),"",MGCS 5001,""
532,HUMA 1520,Modern East Asia,3 Credit(s),"",MGCS 5004,""
533,HUMA 1620,Human Culture and Society,3 Credit(s),"","",""
534,HUMA 1630,Popular Religion in South China,3 Credit(s),"","",""
535,HUMA 1631,Exploring Chinese Culture in Fieldwork,3 Credit(s),"","HUMA 2632, MGCS 5031",""
536,HUMA 1639,"Marriage, Family and Kinship in Cross-cultural Perspectives",3 Credit(s),"","",""
537,HUMA 1650,Appreciation of Western Art,3 Credit(s),"","",""
538,HUMA 1660,Introduction to Chinese Art,3 Credit(s),"","",""
539,HUMA 1710,The Art of Thinking in the Hong Kong Context,3 Credit(s),"",HUMA 1720,""
540,HUMA 1720,Logic,3 Credit(s),"",HUMA 1710,""
541,HUMA 1810,Introduction to Chinese Philosophy,3 Credit(s),"",HUMA 1811,""
542,HUMA 1811,History of Chinese Philosophy,3 Credit(s),"",HUMA 1810,""
543,HUMA 1910,World Religions,3 Credit(s),"","",""
544,HUMA 1920,Introduction to Moral Philosophy,3 Credit(s),"","",""
545,HUMA 2000-2001,Special Topics in Humanities,3 Credit(s),"","",""
546,HUMA 2010,Metaphors in English and Chinese,3 Credit(s),"","",""
547,HUMA 2031,The Cantonese Language,3 Credit(s),"","",""
548,HUMA 2050,Classical Chinese,3 Credit(s),"","",""
549,HUMA 2103,Introduction to Music Composition,3 Credit(s),"","",""
550,HUMA 2104,Music Theory I,3 Credit(s),"",SISP 1709,""
551,HUMA 2105,"Music, Drama and Theatre",3 Credit(s),"","",""
552,HUMA 2106,A New Approach to Music Making,3 Credit(s),"","",""
553,HUMA 2200,Masterpieces of World Literature,3 Credit(s),"","",""
554,HUMA 2210,Western Short Stories,3 Credit(s),"","",""
555,HUMA 2220,China in Film: Modern Chinese Culture and Identities,3 Credit(s),"","",""
556,HUMA 2240,Masterpieces of Chinese Literature,3 Credit(s),"","",""
557,HUMA 2250,Modern Chinese Fiction (1917-1949),3 Credit(s),"","",""
558,HUMA 2260,Contemporary Chinese Fiction (1949-present),3 Credit(s),"","",""
559,HUMA 2280,Identity Goes Global: From Border Crossing to Boundary Remaking,3 Credit(s),"","",""
560,HUMA 2300,Traditional Chinese Poetry: Early Chinese Poetry,3 Credit(s),"","",""
561,HUMA 2310,Traditional Chinese Fiction,3 Credit(s),"","",""
562,HUMA 2320,Chinese Drama,3 Credit(s),"","",""
563,HUMA 2400,Approaches to Humanities in China Studies,3 Credit(s),"","",""
564,HUMA 2420,Late Imperial China,3 Credit(s),"","",""
565,HUMA 2430,China in the 20th Century,3 Credit(s),"","",""
566,HUMA 2440,20th-Century China in Documentary Films,3 Credit(s),"","",""
567,HUMA 2470,"From Fung Shui to Mao's Villages: City Plans, Urban Politics & the Unseen World of Chinese Villages",3 Credit(s),"","",""
568,HUMA 2581,China and Mainland Southeast Asia: Pre-Modern Historical Interactions,3 Credit(s),"","",""
569,HUMA 2589,"Mussolini, Stalin, Hitler: Dictators and their Regimes",3 Credit(s),"","",""
570,HUMA 2590,The Making of the Modern World: Renaissance to the Present,3 Credit(s),"","",""
571,HUMA 2621,Culture and Environment,3 Credit(s),"","",""
572,HUMA 2623,Cultural Sustainability in South China,3 Credit(s),"","",""
573,HUMA 2630,Anthropology of Food,3 Credit(s),"","",""
574,HUMA 2632,Chinese Culture and Society in Anthropological Perspectives,3 Credit(s),"","HUMA 1631, MGCS 5031",""
575,HUMA 2633,Before Mao: Traditional Chinese Society from 1800 to 1949,3 Credit(s),"",MGCS 5001,""
576,HUMA 2635,Cultural Diversity in China,3 Credit(s),"",MGCS 5032,""
577,HUMA 2638,Peoples and Cultures in Mainland Southeast Asia,3 Credit(s),"","",""
578,HUMA 2640,Unofficial China: Social History 1800s-1930s,3 Credit(s),"",MGCS 5031,""
579,HUMA 2660,Introduction to Chinese Painting,3 Credit(s),"","",""
580,HUMA 2661,Chinese Oil Painting,3 Credit(s),"","",""
581,HUMA 2670,Understanding Western Painting,3 Credit(s),"","",""
582,HUMA 2680,Understanding Western Architecture,3 Credit(s),"","",""
583,HUMA 2820,Chinese Culture and Its Philosophies,3 Credit(s),"","",""
584,HUMA 2830,Core Values in Confucianism,3 Credit(s),"","",""
585,HUMA 2840,Buddhism and the Chinese Intellectual Tradition,3 Credit(s),"","",""
586,HUMA 2911,Buddhism: Origin and Growth,3 Credit(s),"","",""
587,HUMA 2921,Ethical Theories and Contemporary Issues,3 Credit(s),"",HUMA 200N,""
588,HUMA 3000,Special Topics,2-3 Credit(s),"","",""
589,HUMA 3030,"Language, Communication and Culture",3 Credit(s),"","",""
590,HUMA 3040,Study of the Modern Chinese Writing System,3 Credit(s),"","",""
591,HUMA 3101,Enjoyment of Western Opera,3 Credit(s),"","",""
592,HUMA 3102,Making Chamber Music A,2 Credit(s),"","",""
593,HUMA 3103,Making Chamber Music B,2 Credit(s),"","",""
594,HUMA 3104,Music Theory II,3 Credit(s),HUMA 2104,"",""
595,HUMA 3200,Questions of Humanity in World Literature,3 Credit(s),"","",""
596,HUMA 3201,Animation: A Global Perspective,3 Credit(s),"","",""
597,HUMA 3202,Chinese Creative Writing: Reading Literary Classics and Writing Essays,3 Credit(s),"","",""
598,HUMA 3203,Chinese Creative Writing: Reading Literary Classics and Writing Novels,3 Credit(s),"","",""
599,HUMA 3210,Traditional Chinese Poetry: Tang and Song Poetry,3 Credit(s),"","",""
600,HUMA 3220,Modern Chinese Poetry,3 Credit(s),"","",""
601,HUMA 3240,The Gothic Imagination in Literature and Film,3 Credit(s),"","",""
602,HUMA 3250,Independent Cinema in Contemporary China,3 Credit(s),"","",""
603,HUMA 3410,Special Topics in Pre-Imperial to Middle Imperial China,3 Credit(s),"","",""
604,HUMA 3420,Chinese Social and Economic History,3 Credit(s),"","MGCS 5001, MGCS 5002",""
605,HUMA 3430,Reading Modern Chinese History Historically,3 Credit(s),"","",""
606,HUMA 3450,History of Pre-Modern Chinese Technology and Its Transfer Overseas,3 Credit(s),"","",""
607,HUMA 3610,Special Topics in Cultural Anthropology,3 Credit(s),"","",""
608,HUMA 3630,Community and Cultural Identity,3 Credit(s),"","",""
609,HUMA 3660,Tradition & Modernity: Chinese Ink Painting in 20th Century,3 Credit(s),"","",""
610,HUMA 3680,Contemporary Architecture: The Pritzker Prize Winners,3 Credit(s),"","",""
611,HUMA 3800,Guided Studies in Chinese Philosophical Classics,3 Credit(s),"","",""
612,HUMA 3810,Taoism and the Chinese Tradition,3 Credit(s),"","",""
613,HUMA 3821,Classical Chinese Philosophy (in English),3 Credit(s),"","",""
614,HUMA 3900,Philosophical Inquiry into the Modern World,3 Credit(s),"","",""
615,HUMA 4000,Special Topics,3-4 Credit(s),"","",""
616,HUMA 4020,Language and Literature in Modern China,3 Credit(s),HUMA 1010 OR HUMA 1440 OR HUMA 3030 OR HUMA 3200,"",""
617,HUMA 4220,Verbal and Visual Representation of China,3 Credit(s),HUMA 1200 (prior to 2015-16) OR HUMA 1440 OR HUMA 1660 OR HUMA 2660 OR HUMA 3030,"",""
618,HUMA 4250,Masterpieces of Modern Literature,3 Credit(s),"","",""
619,HUMA 4520,History of US-China Relations,3 Credit(s),"","",""
620,HUMA 4610,Heritage in Cross-cultural Perspective,3 Credit(s),HUMA 1620 OR HUMA 2590 OR SOSC 2290,"",""
621,HUMA 4650,Western Painting: From Renaissance to Impressionism,3 Credit(s),"","",""
622,HUMA 4700,Confucianism in a Global Context,3 Credit(s),HUMA 2420 OR HUMA 1440 OR HUMA 2570 (prior to 2015-16) OR HUMA 2830 OR SOSC 2290,"",""
623,HUMA 4840,Selected Readings of Religious Taoism,3 Credit(s),"","",""
624,IDPO 4950,Interdisciplinary Special Project,0-4 Credit(s),"","",""
625,IELM 1010,Academic and Professional Development I,0 Credit(s),"","",""
626,IELM 1020,Academic and Professional Development II,0 Credit(s),"","",""
627,IELM 1990,Industrial Training,0 Credit(s),"",IELM 1991,""
628,IELM 1991,Industrial Experience,0 Credit(s),"",IELM 1990,""
629,IELM 2010,Industrial Engineering and Modern Logistics,3 Credit(s),"",IELM 2200,""
630,IELM 2100,Computing in Industrial Applications,3 Credit(s),"","",""
631,IELM 2145,Design Studio,3 Credit(s),"","",""
632,IELM 2150,Product Design,3 Credit(s),"","",""
633,IELM 2200,Engineering Management,3 Credit(s),"",IELM 2010,""
634,IELM 2410,Logistics and Freight Transportation Operations,3 Credit(s),"","",""
635,IELM 2510,Engineering Probability and Statistics,4 Credit(s),MATH 1003 OR MATH 1014 OR MATH 1018 (prior to 2013-14) OR MATH 1020 OR MATH 1024,"ISOM 2500, LIFS 3150, MATH 2411, MATH 2421",""
636,IELM 3010,Operations Research I,3 Credit(s),"","CIVL 2170, IELM 3020 (prior to 2014-15), ISOM 3710, PHYS 4059",MATH 2111
637,IELM 3130,Ergonomics and Safety Management,3 Credit(s),IELM 2510,"",""
638,IELM 3150,Manufacturing Processes,3 Credit(s),"","",""
639,IELM 3230,Engineering Economy,3 Credit(s),"",ECON 2152,""
640,IELM 3250,Operations Research II,3 Credit(s),IELM 2510 or MATH 2411,"",""
641,IELM 3270,Quality Engineering,3 Credit(s),IELM 2510 or MATH 2411,ISOM 3730,""
642,IELM 3300,Industrial Data Systems,3 Credit(s),COMP 1021 OR COMP 1022P OR COMP 1022Q,"COMP 3311, ISOM 3260",""
643,IELM 3330,Introduction to Financial Engineering,3 Credit(s),CIVL 2160 OR ELEC 2600 OR IELM 2510 OR ISOM 2500 OR MATH 2411 OR MATH 2421 OR MATH 2431,"FINA 3203, FINA 4303",""
644,IELM 3410,Routing and Fleet Management,3 Credit(s),IELM 3010,"",""
645,IELM 3450,Logistics Planning and Service Management,3 Credit(s),"",ISOM 3760,""
646,IELM 3901,Transportation Systems,3 Credit(s),"","CIVL 3610, CIVL 3620",IELM 2410
647,IELM 4100,Integrated Production Systems,3 Credit(s),IELM 2510 AND IELM 3010,"ISOM 2700, ISOM 2720 (prior to 2013-14)",""
648,IELM 4110,Engineers in Society,1 Credit(s),"","",""
649,IELM 4130,System Simulation,3 Credit(s),IELM 2510,"",""
650,IELM 4170,Product Design and Lifecycle Management,3 Credit(s),"","",""
651,IELM 4180,Service Engineering and Management,3 Credit(s),IELM 2200,"",""
652,IELM 4200,Design of Logistics and Manufacturing Systems,3 Credit(s),IELM 3010,"",""
653,IELM 4320,Design Thinking,3 Credit(s),"","",""
654,IELM 4331,Quantitative Methods in Financial Engineering,3 Credit(s),(FINA 3203 OR FINA 3203H OR IELM 3330) AND (IELM 3250 OR ISOM 2500),"",""
655,IELM 4410,Global Supply Chain Management,3 Credit(s),IELM 4100,"EEMT 5300, ISOM 4770",""
656,IELM 4650,Engineering Psychology,3 Credit(s),"","",""
657,IELM 4900,Independent Study in Industrial Engineering and Logistics Management,3 Credit(s),"","",""
658,IELM 4901,Final Year Thesis,6 Credit(s),"","",""
659,IELM 4930,Logistics Management and Engineering Project,6 Credit(s),"","",""
660,IELM 4950,Industrial Engineering Special Project,1-4 Credit(s),"","",""
661,IELM 4990,Industrial Engineering Design Project,6 Credit(s),"","",""
662,IIMP 2000,Academic and Professional Development,0 Credit(s),"","",""
663,IIMP 4980,Interdisciplinary Capstone Project I,3 Credit(s),"","",""
664,IIMP 4990,Interdisciplinary Capstone Project II,3 Credit(s),IIMP 4980,"",""
665,IROP 1000,International Research Opportunities Program,0 Credit(s),"","",""
666,ISOM 1090,Social Media: Collective Intelligence & Creativity,3 Credit(s),"","",""
667,ISOM 1380,Technology and Innovation: Social and Business Perspectives,3 Credit(s),"","",""
668,ISOM 1500,Insightful Decisions,3 Credit(s),"","",""
669,ISOM 1700,Critical Issues in Business Operations,3 Credit(s),"","",""
670,ISOM 2010,Introduction to Information Systems,3 Credit(s),"",COMP 1001,""
671,ISOM 2030,Business Protections for Innovations,3 Credit(s),"","",""
672,ISOM 2310,Chronicle of Internet Commerce,3 Credit(s),"","",""
673,ISOM 2400,Global Information Infrastructure and Policy,3 Credit(s),"","",""
674,ISOM 2500,Business Statistics,3 Credit(s),"","CIVL 2160, IELM 2510, LIFS 3150, MATH 2411, MATH 3423",""
675,ISOM 2700,Operations Management,3 Credit(s),"","IELM 4100, ISOM 2720 (prior to 2013-14)",""
676,ISOM 3000,Special Topics in Information Systems,0-4 Credit(s),"","",""
677,ISOM 3010,Information Systems Project Management,3 Credit(s),"",ISOM 4750,""
678,ISOM 3100,Business Simulation and Strategic Decisions,3 Credit(s),"","",""
679,ISOM 3180,Telecommunications and Computer Networking Management,3 Credit(s),"",COMP 4621,""
680,ISOM 3210,Information Systems Analysis and Design,3 Credit(s),ISOM 2010,"",""
681,ISOM 3230,Business Applications Programming,3 Credit(s),(For non-BSc in Quantitative Finance students) ISOM 2010,COMP 1022Q,""
682,ISOM 3260,Database Design and Administration,4 Credit(s),ISOM 3230 OR ISOM 3320,"COMP 3311, IELM 3300",ISOM 3210
683,ISOM 3310,e-Business Management and Web Analytics,3 Credit(s),"","",""
684,ISOM 3320,Internet Applications Development,4 Credit(s),"",COMP 3021,""
685,ISOM 3360,Data Mining for Business Analytics,3 Credit(s),ISOM 2010,COMP 4331,""
686,ISOM 3370,Big Data Technologies,3 Credit(s),ISOM 3230,"",""
687,ISOM 3380,Advanced Network Management (CISCO - ICND),4 Credit(s),ISOM 3180,ISOM 519,""
688,ISOM 3530,A Second Course in Business Statistics,4 Credit(s),ISOM 2500 or MATH 2411,MATH 3424,""
689,ISOM 3540,Introduction to Probability Models,3 Credit(s),ISOM 2500 or MATH 2411,"MATH 2421, MATH 3425",""
690,ISOM 3710,Management Science,4 Credit(s),"","CIVL 2170, IELM 3010, IELM 3020 (prior to 2014-15), PHYS 4059",""
691,ISOM 3730,Quality and Process Management,4 Credit(s),"",IELM 3270,""
692,ISOM 3740,Service Management,3 Credit(s),ISOM 2700,"",""
693,ISOM 3760,Logistics Management,3 Credit(s),ISOM 2700,IELM 3450,""
694,ISOM 3900,Decision Analytics,3 Credit(s),ISOM 2500,"",""
695,ISOM 4000,Special Topics in Information Systems,0-4 Credit(s),"","",""
696,ISOM 4020,Innovation Management and Technology Entrepreneurship,3 Credit(s),"","",""
697,ISOM 4100,Information Systems Auditing and Security,3 Credit(s),ACCT 2010 and ISOM 2010,"",""
698,ISOM 4300,Information Systems Control and Assurance,3 Credit(s),ISOM 2010,"",""
699,ISOM 4400,Information Systems Project,6 Credit(s),"","ISOM 4380, ISOM 4390 (prior to 2012-13)",""
700,ISOM 4490,Independent Study in Information Systems,1-4 Credit(s),"","",""
701,ISOM 4520,Statistics for Financial Risk Management,4 Credit(s),ISOM 3540 (Note: Students who have sufficient background in probability but without pre-requisite may enroll in the course upon approval by the instructor),"",""
702,ISOM 4530,Statistical Analysis of Financial Data in R/S-plus,4 Credit(s),IELM 2510 OR ISOM 2500 OR MATH 2411,"",""
703,ISOM 4540,Time Series Analysis and Forecasting,4 Credit(s),ISOM 2500 or MATH 2411,"ECON 4304, MATH 4425",""
704,ISOM 4550,Bayesian Statistics,3 Credit(s),ISOM 3540 OR MATH 2421 OR MATH 2431,"",""
705,ISOM 4580,Elementary Sampling Methods,3 Credit(s),ISOM 2500,MATH 3426,""
706,ISOM 4590,Special Topics in Statistics,0-4 Credit(s),"","",""
707,ISOM 4690,Independent Study in Business Statistics,1-4 Credit(s),"","",""
708,ISOM 4720,Simulation in Business and Management,3 Credit(s),ISOM 2500 OR MATH 2411 OR MATH 2421 OR MATH 2431,IELM 4130,""
709,ISOM 4740,Enterprise Resource Management,3 Credit(s),ISOM 2700,"",""
710,ISOM 4750,Business Project Management,3 Credit(s),ISOM 2700,"",""
711,ISOM 4770,Supply Chain Management,3 Credit(s),ISOM 2700,"",""
712,ISOM 4780,Operations Strategy,3 Credit(s),ISOM 2700,ISOM 3100,""
713,ISOM 4790,Special Topics in Operations Management,0-4 Credit(s),"","",""
714,ISOM 4810,OM Best Practices,3 Credit(s),ISOM 2700,"",""
715,ISOM 4820,Revenue Management,3 Credit(s),ISOM 2700 AND ISOM 3710,"",""
716,ISOM 4840,Financial Service Operations Management,3 Credit(s),(ISOM 2500 OR MATH 2411) AND ISOM 2700,"",""
717,ISOM 4880,Operations Management Project,3 Credit(s),"","",""
718,ISOM 4890,Independent Study in Operations Management,1-4 Credit(s),"","",""
719,LABU 2020,Effective Communication in Business,2 Credit(s),LANG 1003,"",""
720,LABU 2040,Business Case Analyses,3 Credit(s),LANG 1003,"",""
721,LABU 2050,Honors Business Case Analyses,3 Credit(s),"","",""
722,LABU 2051,Business Case Analyses I,2 Credit(s),LANG 1003,LABU 2050,""
723,LABU 2052,Business Case Analyses II,2 Credit(s),LABU 2051,LABU 2050,""
724,LABU 2060,Effective Communication in Business,3 Credit(s),LANG 1003,"",""
725,LANG 1002,English for University Studies I,3 Credit(s),"",IELTS - Band 7 or above in overall and Band 6.5 or above in each part of the test or equivalent,""
726,LANG 1003,English for University Studies II,3 Credit(s),LANG 1002,IELTS - Band 7 or above in overall and Band 6.5 or above in each part of the test or equivalent,""
727,LANG 1113,Effective Chinese Communication,3 Credit(s),Level 3 in HKDSE Chinese,"Level 4 or above in HKDSE Chinese, LANG 1114, LANG 1115, LANG 1116, LANG 1117, LANG 1118, LANG 1120, LANG 1121, LANG 1122, LANG 1123, LANG 1124, LANG 1125, LANG 1126, LANG 1127",""
728,LANG 1114,Critical Reading and Writing in Chinese,3 Credit(s),Level 4 or above in HKDSE Chinese OR Score 100 or above in JEE Chinese,"LANG 1120, LANG 1121, LANG 1122, LANG 1123, LANG 1124, LANG 1125, LANG 1126, LANG 1127",""
729,LANG 1115,Critical Reading and Speaking in Chinese,3 Credit(s),Level 4 or above in HKDSE Chinese,"LANG 1116, LANG 1120, LANG 1121, LANG 1122, LANG 1123, LANG 1124, LANG 1125, LANG 1126, LANG 1127",""
730,LANG 1116,Advanced Critical Reading and Speaking in Chinese,3 Credit(s),Level 4 or above in HKDSE Chinese OR Score 100 or above in JEE Chinese,"LANG 1115, LANG 1120, LANG 1121, LANG 1122, LANG 1123, LANG 1124, LANG 1125, LANG 1126, LANG 1127",""
731,LANG 1117,Advanced Chinese Communication,3 Credit(s),Level 4 or above in HKDSE Chinese,"LANG 1113, LANG 1114, LANG 1115, LANG 1116, LANG 1118, LANG 1120, LANG 1121, LANG 1122, LANG 1123, LANG 1124, LANG 1125, LANG 1126, LANG 1127",""
732,LANG 1118,Enhanced Chinese Communication,3 Credit(s),"","Level 3 in HKDSE Chinese, LANG 1113, LANG 1114, LANG 1115, LANG 1116, LANG 1117, LANG 1120, LANG 1121, LANG 1122, LANG 1123, LANG 1124, LANG 1125, LANG 1126, LANG 1127",""
733,LANG 1120,Chinese for Non-Chinese Language Background Students I,3 Credit(s),"","HKDSE/HKALE/HKCEE/JEE Chinese, LANG 1110 (prior to 2013-14), LANG 1111 (prior to 2013-14), LANG 1112 (prior to 2016-17), LANG 1113, LANG 1114, LANG 1115, LANG 1116, LANG 1117, LANG 1118",""
734,LANG 1121,Chinese for Non-Chinese Language Background Students II,3 Credit(s),LANG 1120,"HKDSE/HKALE/HKCEE/JEE Chinese, LANG 1110 (prior to 2013-14), LANG 1111 (prior to 2013-14), LANG 1112 (prior to 2016-17), LANG 1113, LANG 1114, LANG 1115, LANG 1116, LANG 1117, LANG 1118",""
735,LANG 1122,Chinese for Non-Chinese Language Background Students III,3 Credit(s),LANG 1121,"HKDSE/HKALE/HKCEE/JEE Chinese, LANG 1110 (prior to 2013-14), LANG 1111 (prior to 2013-14), LANG 1112 (prior to 2016-17), LANG 1113, LANG 1114, LANG 1115, LANG 1116, LANG 1117, LANG 1118",""
736,LANG 1123,Chinese for Non-Chinese Language Background Students IV,3 Credit(s),LANG 1122,"HKDSE/HKALE/HKCEE/JEE Chinese, LANG 1110 (prior to 2013-14), LANG 1111 (prior to 2013-14), LANG 1112 (prior to 2016-17), LANG 1113, LANG 1114, LANG 1115, LANG 1116, LANG 1117, LANG 1118",""
737,LANG 1124,Chinese for Non-Chinese Language Background Students V,3 Credit(s),LANG 1123,"HKDSE/HKALE/HKCEE/JEE Chinese, LANG 1110 (prior to 2013-14), LANG 1111 (prior to 2013-14), LANG 1112 (prior to 2016-17), LANG 1113, LANG 1114, LANG 1115, LANG 1116, LANG 1117, LANG 1118",""
738,LANG 1125,Chinese for Non-Chinese Language Background Students VI,3 Credit(s),LANG 1124,"HKDSE/HKALE/HKCEE/JEE Chinese, LANG 1110 (prior to 2013-14), LANG 1111 (prior to 2013-14), LANG 1112 (prior to 2016-17), LANG 1113, LANG 1114, LANG 1115, LANG 1116, LANG 1117, LANG 1118",""
739,LANG 1126,Chinese for Non-Chinese Language Background Students VII,3 Credit(s),LANG 1125,"HKDSE/HKALE/HKCEE/JEE Chinese, LANG 1110 (prior to 2013-14), LANG 1111 (prior to 2013-14), LANG 1112 (prior to 2016-17), LANG 1113, LANG 1114, LANG 1115, LANG 1116, LANG 1117, LANG 1118",""
801,LIFS 3070,Biophysics and Physical Biochemistry,3 Credit(s),LIFS 2040,"",""
740,LANG 1127,Chinese for Non-Chinese Language Background Students VIII,3 Credit(s),LANG 1126,"HKDSE/HKALE/HKCEE/JEE Chinese, LANG 1110 (prior to 2013-14), LANG 1111 (prior to 2013-14), LANG 1112 (prior to 2016-17), LANG 1113, LANG 1114, LANG 1115, LANG 1116, LANG 1117, LANG 1118",""
741,LANG 1130,Cantonese for Non-Chinese Language Background Students I,3 Credit(s),"","",""
742,LANG 1133,Cantonese for Chinese Language Background Students I,3 Credit(s),"","",""
743,LANG 1210,Japanese Language and Related Culture,3 Credit(s),"","",""
744,LANG 1220,Arabic: a key to the Middle East,3 Credit(s),"","",""
745,LANG 1310,French: World Language and Culture,3 Credit(s),"","",""
746,LANG 1320,German in the World of Science and Technology,3 Credit(s),"","",""
747,LANG 1330,Spanish and the Other America,3 Credit(s),"","",""
748,LANG 1410,Latin and the Legacy of the Roman World,3 Credit(s),"","",""
749,LANG 2010,English for Science I,3 Credit(s),LANG 1001 (prior to 2013-14) OR LANG 1003,"",""
750,LANG 2030,Technical Communication I,3 Credit(s),LANG 1001 (prior to 2013-14) OR LANG 1003,LANG 3049 (prior to 2013-14),""
751,LANG 2070,English Communication for Humanities and Social Science Studies I,3 Credit(s),LANG 1003,"",""
752,LANG 2082,Communication for Environmental Management and Technology I,2 Credit(s),LANG 1003,"",""
753,LANG 2083,Communication for Environmental Management and Technology II,2 Credit(s),LANG 2082,"",""
754,LANG 2170,Chinese Communication Skills for Humanities & Social Science Studies,3 Credit(s),"","",""
755,LANG 3010,English for Mathematics and Economics,3 Credit(s),LANG 2010,"",""
756,LANG 3011,English for Mathematics,3 Credit(s),LANG 2010,"",""
757,LANG 3012,Laboratory Report Writing for Chemistry Students,1 Credit(s),LANG 2010,"",CHEM 3555
758,LANG 3013,Laboratory Report Writing for Physics Students,1 Credit(s),LANG 2010,"",PHYS 3152 OR PHYS 3153
759,LANG 3014,Laboratory Report Writing for Life Science Students,1 Credit(s),LANG 1003,"",""
760,LANG 3015,Laboratory Report Writing for Biotechnology Students,1 Credit(s),"","",LIFS 3110
761,LANG 3016,Laboratory Report Writing for Environmental Science Students,1 Credit(s),LANG 2010,"",ENVS 3001
762,LANG 3070,English Communication for Humanities and Social Science Studies II,3 Credit(s),LANG 2070,"",""
763,LANG 3081,Communication for Environmental Management and Technology III,2 Credit(s),LANG 2083,"",""
764,LANG 4012,English for Chemistry Capstone Projects,2 Credit(s),"","",CHEM 4689 OR CHEM 4691 OR SCIE 3500 OR SCIE 4500
765,LANG 4013,English for Physics Capstone Projects,2 Credit(s),"","",PHYS 4191 OR PHYS 4291 OR SCIE 3500 OR SCIE 4500
766,LANG 4014,English for Life Science Capstone and Final Year Projects,2 Credit(s),LANG 3014,"",""
767,LANG 4015,English for Biotechnology Capstone Projects,2 Credit(s),"","",(for BIOT students) LIFS 4660 (prior to 2015-16) OR LIFS 4963 OR LIFS 4973 OR LIFS 4983 OR SCIE 3500 OR SCIE 4500; (for BCB students) LIFS 4961 OR LIFS 4971 OR LIFS 4981 OR SCIE 3500 OR SCIE 4500
768,LANG 4016,English for Environmental Science Capstone Projects,2 Credit(s),"","",ENVS 4964 OR ENVS 4974 OR ENVS 4984 OR SCIE 3500 OR SCIE 4500
769,LANG 4017,English for Biological Science Capstone Projects,3 Credit(s),"","",(for BCB students) LIFS 4961 OR LIFS 4971 OR LIFS 4981; (for BISC students) LIFS 4960 OR LIFS 4970 OR LIFS 4980
770,LANG 4030,Technical Communication II for CSE & CPEG,3 Credit(s),LANG 2030,"",COMP 4981 OR COMP 4981H OR COMP 4988 OR COMP4989
771,LANG 4031,Technical Communication II for ECE & CPEG,3 Credit(s),LANG 2030,"",ELEC 4900 OR ELEC 4901 OR CPEG 4918 OR CPEG 4919
772,LANG 4032,Technical Communication II for Industrial Engineering and Logistics Management,3 Credit(s),LANG 2030,"",""
773,LANG 4033,Technical Communication II for Civil and Environmental Engineering,3 Credit(s),LANG 2030,"",""
774,LANG 4034,Technical Communication II for Mechanical and Aerospace Engineering,3 Credit(s),LANG 2030,"",MECH 3690 OR MECH 3830
775,LANG 4070,Academic Writing in Context - Global China Studies,1 Credit(s),"","",SHSS 4991
776,LIFS 1010,Appreciation of Biological Sciences,3 Credit(s),"","LIFS 1901, LIFS 1902, Level 3 or above in HKDSE 1/2x Biology OR in HKDSE 1x Biology, a passing grade in HKCEE Biology OR HKAL Biology",""
777,LIFS 1020,Biology of Human Health,3 Credit(s),"","Level 3 or above in HKDSE 1/2x Biology or in HKDSE 1x Biology, a passing grade in HKAL Biology, LIFS 1901, LIFS 1902, LIFS 4760",""
778,LIFS 1030,Environmental Science,3 Credit(s),"","",""
779,LIFS 1901,General Biology I,3 Credit(s),"","Level 3 or above in HKDSE 1x Biology, a passing grade in AL/AS Biology",""
780,LIFS 1902,General Biology II,3 Credit(s),LIFS 1901 OR level 3 or above in HKDSE 1x Biology OR a passing grade in AL/AS Biology,"",""
781,LIFS 1903,Laboratory for General Biology I,1 Credit(s),"","Level 3 or above in HKDSE 1x Biology, a passing grade in AL/AS Biology",LIFS 1901
782,LIFS 1904,Laboratory for General Biology II,1 Credit(s),LIFS 1901 OR level 3 or above in HKDSE 1x Biology OR a passing grade in AL/AS Biology,"",LIFS 1902
783,LIFS 1930,Nature of Life Sciences,3 Credit(s),"",LIFS 2030 (prior to 2014-15),""
784,LIFS 2010,Modern Approaches to Biochemical and Cell Biological Research,3 Credit(s),LIFS 1902,"",""
785,LIFS 2011,A Practicum on Wetland Conservation,3 Credit(s),"","",""
786,LIFS 2040,Cell Biology,3 Credit(s),"","",""
787,LIFS 2060,Biodiversity,3 Credit(s),"","",""
788,LIFS 2070,Introduction to Biotechnology,3 Credit(s),LIFS 1902,LIFS 1070 (prior to 2016-17),""
789,LIFS 2080,Plant Biology,3 Credit(s),LIFS 2040 OR LIFS 2210,"",""
790,LIFS 2210,Biochemistry I,3 Credit(s),LIFS 1901 OR LIFS 1902,"",""
791,LIFS 2220,Biochemistry II,3 Credit(s),LIFS 1902,"",""
792,LIFS 2240,Cell Biology Laboratory,3 Credit(s),LIFS 1902,"",""
793,LIFS 2280,Plant Biology Laboratory,3 Credit(s),"","",LIFS 2080
794,LIFS 2720,Biochemistry Laboratory,2 Credit(s),"","",(for BCB and BISC students) LANG 3014 AND LIFS 2820; (for others) LIFS 2820
795,LIFS 2820,Biochemical Laboratory Techniques,1 Credit(s),"","",LIFS 2720
796,LIFS 3002,Special Topics of Biological Sciences,2-4 Credit(s),LIFS 2040,"",""
